iter	Logloss
0	0.6877925646
1	0.6819773831
2	0.6751418513
3	0.6687961155
4	0.6629750116
5	0.6573827854
6	0.6513022417
7	0.6456065862
8	0.6399427345
9	0.6340389075
10	0.6273541978
11	0.6216869554
12	0.616478348
13	0.6109391445
14	0.605408875
15	0.6006985349
16	0.5957892762
17	0.5901473248
18	0.5847555901
19	0.5799655952
20	0.5749699866
21	0.5696569436
22	0.5644186081
23	0.5594658273
24	0.5543484817
25	0.5492124826
26	0.5433604936
27	0.539230991
28	0.5340143868
29	0.5295579602
30	0.5255343753
31	0.5218896353
32	0.517545272
33	0.5128231896
34	0.5083176686
35	0.5039014032
36	0.4991493239
37	0.4953382458
38	0.4919827867
39	0.4879511643
40	0.4828127977
41	0.478570739
42	0.4743386234
43	0.4707835227
44	0.4667100369
45	0.4622621632
46	0.4585101337
47	0.4543081189
48	0.450684064
49	0.4471354135
50	0.4430039758
51	0.4389668746
52	0.4359680859
53	0.4326696936
54	0.42846066
55	0.4248042853
56	0.4211962649
57	0.4178066691
58	0.4151995876
59	0.4120990091
60	0.4082973246
61	0.4052319282
62	0.402324421
63	0.3991008141
64	0.3956006661
65	0.3920834588
66	0.3887829904
67	0.38582816
68	0.3831359588
69	0.3803566514
70	0.3775400597
71	0.3745089669
72	0.3711082958
73	0.3680889446
74	0.365289255
75	0.3628803829
76	0.35992521
77	0.3575439699
78	0.3537941804
79	0.3509111591
80	0.3482772765
81	0.3457135678
82	0.3430307468
83	0.3406119488
84	0.3377039764
85	0.3351979589
