iter	Passed	Remaining
0	21	21559
1	37	18636
2	46	15332
3	48	11987
4	49	9943
5	55	9131
6	56	8013
7	62	7713
8	65	7177
9	72	7208
10	79	7177
11	83	6861
12	88	6710
13	94	6676
14	101	6663
15	106	6545
16	114	6622
17	120	6557
18	134	6958
19	138	6763
20	140	6542
21	140	6263
22	146	6209
23	147	5986
24	153	6004
25	163	6138
26	166	6007
27	167	5806
28	169	5677
29	172	5572
30	175	5482
31	177	5367
32	178	5234
33	183	5221
34	191	5278
35	193	5176
36	195	5099
37	198	5017
38	199	4926
39	205	4934
40	211	4935
41	229	5232
42	230	5135
43	238	5179
44	239	5082
45	241	5005
46	242	4915
47	243	4832
48	244	4750
49	245	4673
50	247	4598
51	248	4532
52	250	4476
53	254	4461
54	256	4406
55	258	4351
56	259	4292
57	260	4234
58	261	4177
59	263	4134
60	267	4111
61	268	4060
62	269	4014
63	272	3981
64	274	3953
65	278	3936
66	279	3898
67	282	3876
68	286	3862
69	287	3823
70	288	3779
71	290	3737
72	291	3697
73	292	3657
74	293	3620
75	294	3584
76	296	3550
77	297	3520
78	299	3488
79	300	3455
80	301	3417
81	302	3384
82	303	3352
83	304	3322
84	305	3293
85	307	3264
86	308	3237
87	309	3210
88	311	3184
89	312	3156
90	313	3132
91	314	3107
92	318	3103
93	320	3084
94	321	3066
95	323	3045
96	325	3031
97	327	3017
98	329	2997
99	330	2977
100	333	2966
101	335	2951
102	337	2936
103	338	2915
104	339	2893
105	340	2871
106	341	2850
107	342	2828
108	347	2837
109	348	2819
110	349	2801
111	351	2786
112	353	2777
113	357	2779
114	358	2762
115	360	2744
116	361	2726
117	362	2710
118	364	2701
119	366	2688
120	367	2671
121	369	2656
122	370	2640
123	371	2627
124	372	2610
125	374	2595
126	375	2579
127	376	2563
128	377	2548
129	378	2533
130	379	2518
131	380	2504
132	381	2490
133	382	2475
134	383	2460
135	384	2445
136	386	2433
137	387	2420
138	389	2413
139	392	2408
140	393	2397
141	395	2390
142	398	2386
143	400	2381
144	402	2371
145	403	2358
146	404	2346
147	405	2334
148	406	2322
149	407	2310
150	408	2298
151	409	2287
152	411	2275
153	412	2263
154	412	2251
155	413	2239
156	415	2229
157	416	2217
158	417	2206
159	418	2195
160	419	2184
161	420	2173
162	421	2162
163	422	2152
164	423	2143
165	424	2131
166	425	2121
167	426	2110
168	427	2101
169	428	2090
170	429	2081
171	430	2071
172	431	2061
173	432	2053
174	433	2043
175	434	2034
176	435	2025
177	436	2015
178	437	2006
179	438	1997
180	439	1988
181	440	1979
182	440	1968
183	441	1959
184	442	1950
185	443	1942
186	444	1933
187	445	1925
188	446	1917
189	447	1909
190	448	1901
191	449	1893
192	450	1885
193	451	1877
194	452	1869
195	453	1860
196	454	1853
197	455	1845
198	456	1837
199	457	1830
200	458	1823
201	459	1816
202	460	1808
203	461	1801
204	462	1794
205	463	1786
206	464	1779
207	465	1773
208	466	1766
209	467	1759
210	468	1753
211	469	1746
212	470	1740
213	472	1733
214	473	1727
215	473	1720
216	474	1713
217	475	1707
218	476	1700
219	478	1696
220	479	1690
221	480	1684
222	481	1678
223	482	1672
224	483	1665
225	484	1659
226	485	1653
227	486	1647
228	488	1644
229	489	1638
230	490	1633
231	491	1627
232	492	1621
233	493	1615
234	494	1609
235	495	1603
236	496	1598
237	497	1592
238	498	1587
239	499	1582
240	500	1576
241	501	1570
242	502	1564
243	503	1559
244	504	1553
245	505	1549
246	506	1544
247	507	1539
248	508	1534
249	509	1529
250	510	1524
251	511	1519
252	512	1513
253	513	1508
254	514	1504
255	515	1498
256	516	1493
257	517	1488
258	518	1483
259	519	1478
260	520	1473
261	521	1468
262	522	1464
263	523	1460
264	524	1455
265	525	1450
266	526	1446
267	527	1441
268	528	1436
269	529	1431
270	530	1427
271	531	1422
272	532	1418
273	533	1414
274	534	1409
275	535	1405
276	536	1400
277	538	1397
278	539	1394
279	540	1389
280	541	1386
281	542	1382
282	544	1378
283	545	1374
284	546	1370
285	547	1366
286	548	1362
287	549	1358
288	550	1354
289	551	1350
290	552	1346
291	554	1343
292	555	1340
293	557	1337
294	558	1334
295	560	1333
296	562	1331
297	563	1328
298	565	1325
299	567	1323
300	568	1320
301	570	1318
302	572	1316
303	573	1312
304	574	1309
305	575	1305
306	576	1302
307	577	1297
308	578	1294
309	579	1290
310	581	1287
311	582	1283
312	583	1280
313	584	1276
314	585	1273
315	586	1269
316	587	1266
317	588	1262
318	589	1259
319	590	1255
320	592	1252
321	593	1249
322	594	1245
323	595	1242
324	596	1239
325	598	1236
326	599	1233
327	600	1230
328	601	1227
329	602	1224
330	604	1220
331	605	1217
332	606	1214
333	607	1210
334	608	1207
335	609	1204
336	610	1201
337	611	1197
338	612	1194
339	613	1191
340	614	1188
341	615	1185
342	617	1182
343	618	1179
344	619	1176
345	621	1173
346	622	1170
347	623	1167
348	624	1164
349	625	1161
350	626	1158
351	627	1155
352	629	1153
353	630	1150
354	631	1147
355	632	1144
356	633	1141
357	634	1138
358	635	1135
359	636	1132
360	637	1129
361	639	1126
362	640	1123
363	641	1120
364	642	1117
365	643	1114
366	644	1111
367	645	1108
368	646	1105
369	647	1102
370	648	1100
371	650	1097
372	651	1094
373	652	1091
374	653	1088
375	654	1085
376	655	1082
377	656	1080
378	657	1077
379	660	1077
380	661	1075
381	662	1072
382	664	1069
383	665	1067
384	666	1065
385	667	1062
386	669	1059
387	670	1056
388	671	1054
389	672	1051
390	672	1047
391	674	1045
392	675	1042
393	676	1039
394	677	1037
395	678	1034
396	680	1032
397	681	1030
398	683	1028
399	684	1026
400	685	1023
401	686	1020
402	687	1018
403	688	1015
404	689	1013
405	691	1011
406	694	1012
407	696	1010
408	697	1008
409	698	1005
410	700	1003
411	703	1003
412	706	1004
413	708	1002
414	709	1000
415	710	997
416	711	995
417	712	992
418	714	990
419	715	987
420	716	984
421	717	982
422	718	980
423	721	979
424	722	977
425	723	974
426	724	972
427	725	969
428	726	967
429	729	967
430	730	964
431	731	962
432	733	959
433	734	957
434	735	955
435	737	954
436	739	952
437	740	949
438	741	947
439	742	945
440	743	942
441	744	940
442	746	938
443	747	935
444	748	934
445	751	933
446	752	930
447	753	928
448	754	925
449	755	923
450	756	921
451	758	919
452	759	917
453	760	914
454	761	912
455	764	911
456	765	909
457	766	907
458	767	904
459	769	902
460	770	900
461	771	898
462	772	896
463	773	894
464	775	891
465	776	889
466	777	887
467	778	885
468	780	883
469	781	881
470	782	879
471	784	877
472	785	875
473	786	872
474	787	870
475	789	868
476	790	866
477	791	864
478	792	862
479	793	859
480	794	857
481	795	855
482	797	853
483	798	851
484	799	848
485	800	846
486	801	844
487	802	842
488	804	840
489	805	838
490	806	835
491	807	833
492	808	831
493	809	829
494	810	826
495	811	824
496	812	822
497	813	820
498	814	817
499	815	815
500	816	813
501	817	811
502	818	809
503	820	807
504	821	805
505	823	803
506	825	803
507	827	801
508	828	798
509	829	796
510	830	794
511	831	792
512	832	790
513	833	788
514	834	786
515	835	784
516	837	782
517	838	780
518	839	777
519	840	776
520	841	774
521	842	771
522	844	769
523	845	767
524	846	766
525	847	763
526	848	761
527	849	759
528	851	757
529	852	755
530	852	753
531	853	751
532	855	749
533	856	747
534	857	745
535	858	743
536	859	741
537	860	739
538	861	737
539	862	735
540	863	733
541	864	730
542	866	728
543	867	726
544	868	724
545	869	722
546	870	721
547	871	719
548	872	717
549	873	715
550	875	713
551	876	711
552	877	709
553	879	708
554	880	706
555	881	704
556	882	702
557	883	700
558	885	698
559	886	696
560	888	695
561	890	694
562	891	692
563	893	690
564	894	688
565	895	686
566	896	684
567	897	682
568	898	680
569	899	678
570	901	677
571	902	675
572	903	673
573	904	671
574	905	669
575	906	667
576	907	665
577	908	663
578	909	661
579	910	659
580	911	657
581	912	655
582	913	653
583	914	651
584	915	649
585	916	647
586	917	645
587	918	643
588	920	641
589	921	640
590	922	638
591	923	636
592	924	634
593	925	632
594	926	630
595	927	628
596	928	626
597	930	625
598	931	623
599	932	621
600	933	619
601	934	618
602	935	615
603	936	614
604	937	612
605	938	610
606	939	608
607	940	606
608	940	604
609	942	602
610	942	600
611	943	598
612	945	596
613	946	595
614	947	593
615	948	591
616	949	589
617	951	587
618	952	586
619	953	584
620	954	582
621	955	580
622	956	578
623	957	577
624	958	575
625	960	573
626	961	571
627	962	570
628	963	568
629	964	566
